iter	Passed	Remaining
0	1	150
1	2	132
2	3	118
3	4	105
4	5	106
5	6	105
6	7	104
7	8	100
8	9	98
9	10	96
10	11	94
11	12	94
12	13	92
13	14	90
14	15	88
15	16	87
16	17	86
17	18	86
18	20	86
19	21	87
20	23	87
21	24	85
22	25	84
23	26	83
24	27	82
25	28	81
26	29	80
27	30	78
28	31	77
29	32	75
30	33	74
31	34	72
32	35	71
33	36	70
34	37	69
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	61
41	43	60
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
